lead_id,company_size,industry,annual_revenue_musd,employee_count,job_title,website_visits_30d,email_opens_30d,email_clicks_30d,demo_requested,days_since_last_activity,deal_stage,lead_source,region,historical_purchase_count,months_since_first_contact,true_conversion_prob,converted,CLV_usd
L100000,Small,Healthcare,18.02,133,Owner,7,4,1,0,104,Lead,Partner,LATAM,1,45,0.0,0,9257.7
L100001,Large,Energy,5.47,135,Manager,7,3,0,0,62,Lead,Website,India,0,41,0.09144220065232034,0,8650.58
L100002,Medium,Healthcare,7.72,136,Manager,5,4,1,0,166,Opportunity,Website,LATAM,0,37,0.007303811279818412,0,6030.95
L100003,Medium,Education,21.65,159,VP,9,2,0,0,117,Closed Lost,Event,North America,1,12,0.06605093928996905,0,21234.68
L100004,Small,Finance,3.39,139,Analyst,8,1,0,0,141,Closed Won,Website,EMEA,2,12,0.08357301163984207,0,8235.48
L100005,Small,Healthcare,25.67,151,Director,6,3,0,0,19,Closed Lost,Partner,LATAM,0,54,0.1135413275146678,0,16579.06
L100006,Small,Retail,12.75,149,Analyst,4,6,0,1,145,SQL,Website,EMEA,0,39,0.0,0,8284.37
L100007,Large,Healthcare,42.8,132,Engineer,6,2,1,0,91,Lead,Referral,APAC,1,54,0.0060576584034932185,0,43685.53
L100008,Medium,Retail,15.0,143,CxO,6,5,1,0,122,Opportunity,Cold Email,EMEA,0,4,0.03242109998569876,0,13491.04
L100009,Medium,Energy,4.18,163,Manager,4,1,1,1,110,Closed Lost,Cold Email,LATAM,1,32,0.019324205578268167,0,8531.73
L100010,Small,Healthcare,68.58,156,VP,3,4,0,0,37,Closed Lost,Event,APAC,0,57,0.0,0,35393.81
L100011,Large,Retail,4.55,156,CxO,6,3,1,0,165,SQL,Partner,LATAM,1,48,0.047323403143592464,0,16198.08
L100012,Large,Healthcare,9.71,157,Analyst,2,2,0,0,97,MQL,LinkedIn,India,0,49,0.008660300804446158,0,7723.37
